journal	IF2023	quartile2023
J ANAESTHESIOL CLIN PHARMACOL	1.5	Q3
J ANAL APPL PYROLYSIS	5.8	Q1
J ANAL AT SPECTROM	3.1	Q1
J ANAL METHODS CHEM	2.3	Q3
J ANAL PSYCHOL	0.5	Q2
J ANAL SCI TECHNOL	2.5	Q3
J ANAL TEST	5.5	Q1
J ANAL TOXICOL	2.3	Q3
J ANAT	1.8	Q2
J ANAT SOC INDIA	0.2	Q4
J ANESTH	2.8	Q2
J ANIM BREED GENET	1.9	Q2
J ANIM ECOL	3.5	Q1
J ANIM PHYSIOL ANIM NUTR (BERL)	2.2	Q1
J ANIM SCI	2.7	Q1
J ANIM SCI BIOTECHNOL	6.3	Q1
J ANIM SCI TECHNOL	2.7	Q1
J ANTHROPOL ARCHAEOL	2	NA
J ANTHROPOL RES	1	Q2
J ANTHROPOL SCI	1.6	Q1
J ANTIBIOT (TOKYO)	2.1	Q3
J ANTIMICROB CHEMOTHER	3.9	Q1
J ANUS RECTUM COLON	1.4	Q4
J ANXIETY DISORD	4.8	Q1
J AOAC INT	1.7	Q3
J APIC RES	1.4	Q2
J APPL ANIM WELF SCI	1.4	Q2
J APPL AQUAC	1.3	Q3
J APPL BEHAV ANAL	2.9	Q1
J APPL BEHAV SCI	2.3	Q2
J APPL BIOMATER FUNCT MATER	3.1	Q3
J APPL BIOMECH	1.1	Q3
J APPL BIOMED	2	Q3
J APPL CLIN MED PHYS	2	Q3
J APPL CRYSTALLOGR	5.2	Q1
J APPL DEV PSYCHOL	2.2	Q2
J APPL ECOL	5	Q1
J APPL ECON	1.4	Q3
J APPL ECON (CHICHESTER ENGL)	2.3	Q1
J APPL ELECTROCHEM	2.4	Q3
J APPL ENTOMOL	1.7	Q2
J APPL GENET	2	Q3
J APPL GEOD	1.2	Q4
J APPL GEOPHY	2.2	Q2
J APPL GERONTOL	2.2	Q2
J APPL GLYCOSCI (1999)	1.2	Q4
J APPL ICHTHYOL	0.7	Q4
J APPL LAB MED	1.8	Q3
J APPL MATH	1.2	Q3
J APPL MATH COMPUT	2.4	Q1
J APPL MECH	2.6	Q2
J APPL METEOROL CLIMATOL	2.6	Q3
J APPL MICROBIOL	3.2	Q2
J APPL ORAL SCI	2.2	Q2
J APPL PHYCOL	2.8	Q1
J APPL PHYS	2.7	Q2
J APPL PHYSIOL (1985)	3.3	Q1
J APPL POLYM SCI	2.7	Q2
J APPL POULT RES	1.6	Q2
J APPL PROBAB	0.7	Q3
J APPL PSYCHOL	9.4	Q1
J APPL REMOTE SENS	1.4	Q3
J APPL RES INTELLECT DISABIL	2.1	Q1
J APPL RES MED AROMAT PLANTS	3.8	Q1
J APPL RES MEM COGN	2.8	Q1
J APPL SCH PSYCHOL	1.1	Q4
J APPL SOC PSYCHOL	2.2	Q3
J APPL SPECTROSC	0.8	Q4
J APPL SPORT PSYCHOL	2.7	Q1
J APPL STAT	1.2	Q2
J APPL TOXICOL	2.7	Q3
J APPROX THEORY	0.9	Q2
J AQUAT ANIM HEALTH	1.5	Q2
J ARCHAEOL METHOD THEORY	3.2	NA
J ARCHAEOL SCI	2.6	Q2
J ARCHAEOL SCI REP	1.5	NA
J ARID ENVIRON	2.6	Q3
J ARID LAND	2.7	Q3
J ARRHYTHM	2.2	Q2
J ARTHROPLASTY	3.4	Q1
J ARTHROPOD BORNE DIS	0.6	Q4
J ARTIF INTELL RES	4.5	Q2
J ARTIF ORGANS	1.1	Q3
J ARTIF SOC SOC SIMUL	2.2	Q1
J ASABE	1.2	Q3
J ASEAN FED ENDOCR SOC	0.6	Q4
J ASIA PAC BIODIVERS	0.6	Q4
J ASIA PAC ECON	1.4	Q3
J ASIA PAC ENTOMOL	1.1	Q3
J ASIAN AFR STUD	1.1	Q2
J ASIAN EARTH SCI	2.7	Q2
J ASIAN ECON	2.9	Q1
J ASIAN NAT PROD RES	1.3	Q3
J ASIAN PUBLIC POLICY	1.5	Q1
J ASIAN STUD	1.3	NA
J ASIAT	0.2	NA
J ASSIST REPROD GENET	3.2	Q2
J ASSOC CONSUM RES	2.1	Q3
J ASSOC ENVIRON RESOUR ECON	3.1	Q2
J ASSOC INF SCI TECHNOL	2.8	Q1
J ASSOC INF SYST	7	Q1
J ASSOC NURSES AIDS CARE	1.6	Q3
J ASSOC RES OTOLARYNGOL	2.4	Q1
J ASTHMA	1.7	Q3
J ASTHMA ALLERGY	3.7	Q1
J ASTRON TELESC INSTRUM SYST	1.7	Q3
J ASTRONAUT SCI	1.2	Q3
J ATHEROSCLER THROMB	3	Q2
J ATHL TRAIN	2.6	Q1
J ATMOS OCEAN TECHNOL	1.9	Q3
J ATMOS SCI	3	Q2
J ATMOS SOL TERR PHYS	1.8	Q3
J ATTEN DISORD	2.7	Q2
J AUDIOL OTOL	1.1	Q3
J AUTISM DEV DISORD	3.2	Q1
J AUTOIMMUN	7.9	Q1
J AUTOM REASON	0.9	Q4
J AVIAN BIOL	1.5	Q1
J AVIAN MED SURG	0.6	Q3
J AYURVEDA INTEGR MED	1.7	Q3
J BACK MUSCULOSKELET REHABIL	1.4	Q3
J BACTERIOL	2.7	Q3
J BALT STUD	0.7	Q2
J BANK FINANC	3.6	Q1
J BASIC APPL ZOOL	1.1	Q3
J BASIC MICROBIOL	3.5	Q2
J BEHAV ADDICT	6.6	Q1
J BEHAV COGN THER	1.7	Q3
J BEHAV DECIS MAK	1.8	Q3
J BEHAV EDUC	1.2	Q3
J BEHAV EXP ECON	1.6	Q2
J BEHAV EXP FINANCE	4.3	Q1
J BEHAV FINANC	1.7	Q2
J BEHAV HEALTH SERV RES	1.5	Q3
J BEHAV MED	2.8	Q2
J BEHAV THER EXP PSYCHIATRY	1.7	Q3
J BELG SOC RADIOL	1	Q4
J BENEFIT COST ANAL	2	Q2
J BERRY RES	1.5	Q3
J BIG DATA	8.6	Q1
J BIOACT COMPAT POLYM	2.1	Q3
J BIOCHEM	2.1	Q4
J BIOCHEM MOL TOXICOL	3.2	Q2
J BIOENERG BIOMEMBR	2.9	Q3
J BIOETH INQ	1.8	Q3
J BIOGEOGR	3.4	Q1
J BIOINFORM COMPUT BIOL	0.9	Q4
J BIOL CHEM	4	Q2
J BIOL DYN	1.8	Q3
J BIOL EDUC	1	Q3
J BIOL ENG	5.7	Q1
J BIOL INORG CHEM	2.7	Q2
J BIOL PHYS	1.8	Q3
J BIOL REGUL HOMEOST AGENTS	0.8	Q4
J BIOL RES (THESSALON)	1.9	Q2
J BIOL RHYTHMS	2.9	Q2
J BIOL SYST	1.3	Q4
J BIOMATER APPL	2.3	Q4
J BIOMATER SCI POLYM ED	3.6	Q2
J BIOMECH	2.4	Q3
J BIOMECH ENG	1.7	Q3
J BIOMED INFORM	4	Q2
J BIOMED MATER RES A	3.9	Q3
J BIOMED MATER RES B APPL BIOMATER	3.2	Q3
J BIOMED OPT	3	Q2
J BIOMED RES	2.2	Q3
J BIOMED SCI	9	Q1
J BIOMED SEMANTICS	1.6	Q3
J BIOMOL NMR	2.4	Q2
J BIOMOL STRUCT DYN	2.7	Q2
J BIONIC ENG	4.9	Q1
J BIOPHARM STAT	1.2	Q2
J BIOPHOTONICS	2	Q3
J BIOSCI	2.1	Q2
J BIOSCI BIOENG	2.3	Q3
J BIOSOC SCI	1.5	Q3
J BIOTECHNOL	4.1	Q2
J BISEX	1.8	Q2
J BLACK PSYCHOL	2.5	Q2
J BLACK STUD	0.7	Q3
J BLOOD MED	2.1	Q3
J BODYW MOV THER	1.2	Q3
J BONE JOINT SURG AM	4.4	Q1
J BONE JT INFECT	1.8	Q2
J BONE MINER METAB	2.4	Q3
J BONE MINER RES	5.1	Q1
J BONE ONCOL	3.1	Q2
J BORDERL STUD	1.5	Q2
J BR STUD	0.7	Q1
J BRACHIAL PLEX PERIPHER NERVE INJ	1.1	Q4
J BRAS NEFROL	1.3	Q3
J BRAS PNEUMOL	2.9	Q2
J BRAZ CHEM SOC	1.3	Q3
J BREAST CANCER	2.2	Q3
J BREAST IMAGING	2	Q3
J BREATH RES	3.7	Q1
J BROADCAST ELECTRON MEDIA	2	Q2
J BRONCHOLOGY INTERV PULMONOL	3.3	Q2
J BRYOL	1.2	Q3
J BUILD PERFORM SIMUL	2.2	Q2
J BUILD PHYS	1.8	Q3
J BURN CARE RES	1.5	Q3
J BUS ECON STAT	2.9	Q1
J BUS FINANCE ACCOUNT	2.2	Q2
J BUS PSYCHOL	3.7	Q1
J BUS RES	10.5	Q1
J BUS TECH COMMUN	1.8	Q2
J BUS VENTUR	7.7	Q1
J CACHEXIA SARCOPENIA MUSCLE	9.4	Q1
J CAN ACAD CHILD ADOLESC PSYCHIATRY	2.9	Q2
J CAN DENT ASSOC	1.2	Q3
J CAN HEALTH LIBR ASSOC	0.9	Q3
J CAN STUD	0.7	NA
J CANCER	3.3	Q2
J CANCER EDUC	1.4	Q3
J CANCER EPIDEMIOL	1.8	Q3
J CANCER METASTASIS TREAT	1.4	Q4
J CANCER POLICY	2	Q3
J CANCER PREV	2.5	Q3
J CANCER RES CLIN ONCOL	2.7	Q3
J CANCER RES THER	1.4	Q4
J CANCER SURVIV	3.1	Q1
J CANNABIS RES	4.1	Q1
J CARBOHYDR CHEM	1.2	Q4
J CARD FAIL	6.7	Q1
J CARD SURG	1.3	Q3
J CARDIOL	2.5	Q2
J CARDIOPULM REHABIL PREV	3.3	Q2
J CARDIOTHORAC SURG	1.5	Q3
J CARDIOTHORAC VASC ANESTH	2.3	Q2
J CARDIOVASC COMPUT TOMOGR	5.5	Q1
J CARDIOVASC DEV DIS	2.4	Q2
J CARDIOVASC ECHOGR	0.7	Q4
J CARDIOVASC ELECTROPHYSIOL	2.3	Q2
J CARDIOVASC MAGN RESON	4.2	Q1
J CARDIOVASC MED (HAGERSTOWN)	2.9	Q2
J CARDIOVASC NURS	1.7	Q2
J CARDIOVASC PHARMACOL	2.6	Q2
J CARDIOVASC PHARMACOL THER	2.5	Q3
J CARDIOVASC SURG (TORINO)	1.4	Q3
J CARDIOVASC THORAC RES	1.2	Q3
J CARDIOVASC TRANSL RES	2.4	Q3
J CAREER ASSESS	2.8	Q2
J CAREER DEV	2.6	Q2
J CATAL	6.5	Q1
J CATARACT REFRACT SURG	2.6	Q1
J CAUSAL INFERENCE	1.7	Q2
J CAVES KARST STUD	0.5	Q4
J CELL BIOCHEM	3	Q3
J CELL BIOL	7.4	Q1
J CELL COMMUN SIGNAL	3.6	Q3
J CELL MOL MED	4.3	Q2
J CELL PHYSIOL	4.5	Q1
J CELL PLAST	3.2	Q2
J CELL SCI	3.3	Q3
J CENT NERV SYST DIS	2.6	Q2
J CENT SOUTH UNIV	3.7	Q1
J CEREAL SCI	3.9	Q2
J CEREB BLOOD FLOW METAB	4.9	Q1
J CHEM	2.8	Q2
J CHEM CRYSTALLOGR	0.4	Q4
J CHEM ECOL	2.2	Q2
J CHEM EDUC	2.5	Q2
J CHEM ENG DATA	2	Q2
J CHEM HEALTH SAF	2.9	Q2
J CHEM INF MODEL	5.6	Q1
J CHEM NEUROANAT	2.7	Q3
J CHEM PHYS	3.1	Q1
J CHEM RES	1	Q4
J CHEM SCI (BANGALORE)	1.7	Q3
J CHEM TECHNOL BIOTECHNOL	2.8	Q3
J CHEM THEORY COMPUT	5.7	Q1
J CHEMINFORM	7.1	Q1
J CHEMOM	1.9	Q1
J CHEMOTHER	1.9	Q3
J CHILD ADOLESC MENT HEALTH	0.3	Q4
J CHILD ADOLESC PSYCHIATR NURS	1.6	Q2
J CHILD ADOLESC PSYCHOPHARMACOL	1.5	Q3
J CHILD ADOLESC TRAUMA	1.7	Q1
J CHILD FAM STUD	1.6	Q3
J CHILD HEALTH CARE	1.3	Q3
J CHILD LANG	1.7	Q3
J CHILD MEDIA	2.1	Q1
J CHILD NEUROL	2	Q2
J CHILD ORTHOP	1.3	Q3
J CHILD PSYCHOL PSYCHIATRY	6.5	Q1
J CHILD PSYCHOTHER	0.4	Q4
J CHILD SERV	1.4	Q2
J CHILD SEX ABUS	1.4	Q3
J CHIN CHEM SOC	1.6	Q3
J CHIN MED ASSOC	1.9	Q2
J CHIN POLIT SCI	4.6	Q1
J CHIN SOCIOL	1	Q3
J CHIROPR EDUC	0.7	Q4
J CHIROPR MED	0.8	Q4
J CHOICE MODEL	2.8	Q1
J CHRIST NURS	0.4	Q4
J CHROMATOGR A	3.8	Q1
J CHROMATOGR B ANALYT TECHNOL BIOMED LIFE SCI	2.8	Q2
J CHROMATOGR SCI	1.5	Q3
J CHURCH STATE	0.3	NA
J CIV STRUCT HEALTH MONIT	3.6	Q1
J CLASSIF	1.8	Q3
J CLEAN PROD	9.7	Q1
J CLIN ANESTH	5	Q1
J CLIN APHER	1.4	Q4
J CLIN BIOCHEM NUTR	2	Q3
J CLIN CHILD ADOLESC PSYCHOL	4.2	Q1
J CLIN DENSITOM	1.7	Q4
J CLIN DIAGN RES	0.2	Q4
J CLIN ENDOCRINOL METAB	5	Q1
J CLIN EPIDEMIOL	7.3	Q1
J CLIN EXP HEMATOP	0.9	Q4
J CLIN EXP HEPATOL	3.3	Q2
J CLIN EXP NEUROPSYCHOL	1.8	Q3
J CLIN GASTROENTEROL	2.8	Q2
J CLIN HYPERTENS (GREENWICH)	2.7	Q2
J CLIN IMAGING SCI	1.1	Q3
J CLIN IMMUNOL	7.2	Q1
J CLIN INVEST	13.3	Q1
J CLIN LAB ANAL	2.6	Q2
J CLIN LIPIDOL	3.6	Q2
J CLIN MED	3	Q1
J CLIN MED RES	1.6	Q2
J CLIN MICROBIOL	6.1	Q1
J CLIN MONIT COMPUT	2	Q2
J CLIN NEONATOL	0.2	Q4
J CLIN NEUROL	2.9	Q2
J CLIN NEUROPHYSIOL	2.3	Q3
J CLIN NEUROSCI	1.9	Q4
J CLIN NURS	3.2	Q1
J CLIN ONCOL	42.1	Q1
J CLIN PATHOL	2.5	Q2
J CLIN PEDIATR DENT	1.5	Q2
J CLIN PERIODONTOL	5.8	Q1
J CLIN PHARM THER	2.1	Q3
J CLIN PHARMACOL	2.4	Q3
J CLIN PSYCHIATRY	4.5	Q1
J CLIN PSYCHOL	2.5	Q2
J CLIN PSYCHOL MED SETTINGS	1.6	Q3
J CLIN PSYCHOPHARMACOL	2.9	Q2
J CLIN RES PEDIATR ENDOCRINOL	1.5	Q2
J CLIN RHEUMATOL	2.4	Q2
J CLIN SLEEP MED	3.5	Q1
J CLIN SPORT PSYCHOL	1.4	Q3
J CLIN TRANSL ENDOCRINOL	4.2	Q1
J CLIN TRANSL HEPATOL	3.1	Q2
J CLIN TRANSL SCI	2.1	Q3
J CLIN TUBERC OTHER MYCOBACT DIS	1.9	Q3
J CLIN ULTRASOUND	1.2	Q3
J CLIN UROL	0.2	Q4
J CLIN VIROL	4	Q2
J CLIN VIROL PLUS	1.6	Q4
J CLOUD COMPUT (HEIDELB)	3.7	Q2
J CLUST SCI	2.7	Q2
J CO2 UTIL	7.2	Q1
J COAST CONSERV	1.7	Q2
J COAT TECHNOL RES	2.3	Q3
J COGN CULT	0.6	Q4
J COGN DEV	1.6	Q3
J COGN EDUC PSYCHOL	0.3	Q4
J COGN ENG DECIS MAK	2.2	Q2
J COGN ENHANC	1.8	Q4
J COGN NEUROSCI	3.1	Q1
J COGN PSYCHOL (HOVE)	1.2	Q4
J COGN PSYCHOTHER	0.6	Q4
J COGN SCI (SEOUL)	0.2	Q4
J COLL PHYSICIANS SURG PAK	0.7	Q3
J COLL STUD DEV	1.6	Q3
J COLL STUD RET	1.6	Q2
J COLLEGE STUD PSYCHOTHER	1.9	Q3
J COLLOID INTERFACE SCI	9.4	Q1
J COMB OPTIM	0.9	Q3
J COMMON MARK STUD	3.1	Q1
J COMMONW LIT	0.3	NA
J COMMUN	6.1	Q1
J COMMUN DISORD	1.8	Q2
J COMMUN INQ	0.9	Q3
J COMMUNITY APPL SOC PSYCHOL	2.7	Q2
J COMMUNITY GENET	1.5	Q4
J COMMUNITY HEALTH	3.9	Q1
J COMMUNITY HEALTH NURS	0.8	Q4
J COMMUNITY HOSP INTERN MED PERSPECT	0.9	Q3
J COMMUNITY PRACT	1.5	Q2
J COMMUNITY PSYCHOL	2	Q1
J COMP ECON	2.8	Q1
J COMP EFF RES	1.9	Q3
J COMP FAM STUD	0.8	Q4
J COMP GER LINGUIST	0.8	Q3
J COMP NEUROL	2.3	Q1
J COMP PATHOL	0.8	Q3
J COMP PHYSIOL A NEUROETHOL SENS NEURAL BEHAV PHYSIOL	1.9	Q1
J COMP PHYSIOL B	1.7	Q2
J COMP PSYCHOL	1.1	Q3
J COMPET LAW ECON	1.3	Q1
J COMPLEX	1.8	Q1
J COMPLEX NETW	2.2	Q2
J COMPOS MATER	2.3	Q3
J COMPOS SCI	3	Q2
J COMPUT AIDED MOL DES	3	Q2
J COMPUT APPL MATH	2.1	Q1
J COMPUT ASSIST LEARN	5.1	Q1
J COMPUT ASSIST TOMOGR	1	Q4
J COMPUT BIOL	1.4	Q2
J COMPUT BIOPHYS CHEM	2	Q3
J COMPUT CHEM	3.4	Q2
J COMPUT DES ENG	4.8	Q1
J COMPUT ELECTRON	2.2	Q3
J COMPUT GRAPH STAT	1.4	Q2
J COMPUT HIGH EDUC	4.5	Q1
J COMPUT INF SCI ENG	2.6	Q2
J COMPUT MATH	0.9	Q3
J COMPUT MEDIAT COMMUN	5.4	Q1
J COMPUT METHODS APPL MATH	1	Q3
J COMPUT NEUROSCI	1.5	Q4
J COMPUT NONLINEAR DYN	1.9	Q3
J COMPUT PHYS	3.8	Q1
J COMPUT SCI	3.1	Q2
J COMPUT SCI TECHNOL	1.2	Q3
J COMPUT SECUR	0.9	Q4
J COMPUT SOC SCI	2	Q2
J COMPUT SYST SCI	1.1	Q3
J CONFLICT RESOLUT	2.2	Q2
J CONSCIOUS STUD	1.6	Q2
J CONSERV MUS STUD	2	NA
J CONSTR ENG MANAG	4.1	Q2
J CONSTR PSYCHOL	1	Q3
J CONSTR STEEL RES	4	Q1
J CONSULT CLIN PSYCHOL	4.5	Q1
J CONSUM AFF	2.5	Q2
J CONSUM BEHAV	4.4	Q2
J CONSUM HEALTH INTERNET	0.4	Q4
J CONSUM MARK	2.7	Q2
J CONSUM POLICY (DORDR)	1.4	Q3
J CONSUM PSYCHOL	4	Q1
J CONSUM RES	5.7	Q1
J CONTAM HYDROL	3.5	Q2
J CONTEMP AFR STUD	0.8	Q2
J CONTEMP ASIA	2	Q1
J CONTEMP BRACHYTHERAPY	1.1	Q3
J CONTEMP CHINA	2.4	Q1
J CONTEMP CRIM JUSTICE	1.3	Q3
J CONTEMP ETHNOGR	1.6	Q3
J CONTEMP EUR STUD	1.2	Q3
J CONTEMP HIST	0.7	Q1
J CONTEMP PSYCHOTHER	1.5	Q3
J CONTEMP WATER RES EDUC	0.9	Q4
J CONTEXTUAL BEHAV SCI	3.4	Q1
J CONTIN EDUC HEALTH PROF	1.6	Q3
J CONTIN EDUC NURS	1.1	Q3
J CONTROL RELEASE	10.5	Q1
J CONVEX ANAL	0.6	Q3
J COORD CHEM	2.2	Q3
J CORRECT HEALTH CARE	0.8	Q4
J COSMET DERMATOL	2.3	Q2
J COSMET LASER THER	1.2	Q3
J COSMET SCI	0.2	Q4
J COSMOL ASTROPART PHYS	5.3	Q1
J COUNS DEV	2.3	Q2
J COUNS PSYCHOL	3.8	Q1
J COUPLE RELATSH THER	0.7	Q4
J CRANIOFAC SURG	1	Q3
J CRANIOMAXILLOFAC SURG	2.1	Q2
J CRANIOVERTEBR JUNCTION SPINE	1.4	Q2
J CREAT BEHAV	2.8	Q2
J CREAT MENT HEALTH	0.8	Q4
J CRIM JUSTICE	3.3	Q1
J CRIM LAW CRIMINOL	1.1	Q2
J CRIM PSYCHOL	2.1	Q1
J CRIME JUSTICE	1.4	Q2
J CRIT CARE	3.2	Q2
J CRIT CARE MED (TARGU MURES)	0.9	Q4
J CRIT REALISM	3.2	Q1
J CROHNS COLITIS	8.3	Q1
J CROP IMPROV	1	Q3
J CROSS CULT GERONTOL	1.3	Q3
J CROSS CULT PSYCHOL	2.4	Q2
J CRUSTAC BIOL	1.2	Q2
J CRYPTOGR ENG	1.5	Q2
J CRYPTOL	2.3	Q1
J CRYST GROWTH	1.7	Q3
J CULT COGN SCI	1.3	Q4
J CULT ECON	1.9	Q2
J CULT ECON (DORDR)	1.9	Q2
J CULT HERIT	3.5	Q1
J CURR OPHTHALMOL	1.2	Q3
J CUTAN MED SURG	3.1	Q2
J CUTAN PATHOL	1.6	Q3
J CYBERSECUR	2.9	Q1
J CYST FIBROS	5.4	Q1
J CYTOL	1	Q4
J DAIRY RES	1.6	Q3
J DAIRY SCI	3.7	Q2
J DANCE MED SCI	1.1	Q3
J DANCE SOMAT PRACT	0.2	NA
J DATA INF SCI	1.5	Q2
J DEAF STUD DEAF EDUC	1.7	Q2
J DECIS SYST	2.8	Q2
J DEMOGR ECONOMICS	1.3	Q3
J DENT	4.8	Q1
J DENT CHILD (CHIC)	0.4	Q4
J DENT EDUC	1.4	Q3
J DENT RES	5.7	Q1
J DENT SCI	3.4	Q1
J DERMATOL	2.9	Q2
J DERMATOL NURSES ASSOC	0.2	Q4
J DERMATOL SCI	3.8	Q1
J DERMATOLOG TREAT	2.9	Q2
J DES HIST	0.3	NA
J DEV BEHAV PEDIATR	1.8	Q3
J DEV BIOL	2.2	Q3
J DEV ECON	5.1	Q1
J DEV EFFECT	0.9	Q4
J DEV ENTREP	1.3	Q3
J DEV LIFE COURSE CRIMINOL	1.6	Q2
J DEV ORIG HEALTH DIS	1.8	Q3
J DEV PHYS DISABIL	1.5	Q3
J DEV SOC	1.1	Q3
J DEV STUD	1.8	Q2
J DIABETES	3	Q2
J DIABETES COMPLICATIONS	2.9	Q3
J DIABETES INVESTIG	3.1	Q2
J DIABETES METAB DISORD	1.8	Q4
J DIABETES RES	3.6	Q2
J DIABETES SCI TECHNOL	4.1	Q2
J DIAGN MED SONOGR	0.3	Q4
J DIET SUPPL	1.9	Q3
J DIFFER EQU	2.4	Q1
J DIG DIS	2.3	Q3
J DIG ENDOSC	0.4	Q4
J DIGIT IMAGING	2.9	Q2
J DISABIL POLICY STUD	1.1	Q3
J DISPERS SCI TECHNOL	1.9	Q4
J DIVERS HIGH EDUC	2.5	Q2
J DOC	1.7	Q2
J DR NURS PRACT	0.2	Q4
J DRUG DELIV SCI TECHNOL	4.5	Q1
J DRUG EDUC	0.8	Q3
J DRUG ISSUES	1.2	Q4
J DRUG TARGET	4.3	Q1
J DRUGS DERMATOL	1.5	Q3
J DTSCH DERMATOL GES	5.5	Q1
J DUAL DIAGN	1.5	Q3
J DYN CONTROL SYST	0.6	Q4
J DYN DIFFER EQU	1.4	Q2
J DYN SYST MEAS CONTROL	1.7	Q3
J EARLY ADOLESC	2	Q3
J EARLY CHILD LIT	1.3	Q2
J EARLY CHILD RES	1.8	Q2
J EARLY CHILD TEACH EDUC	0.9	Q3
J EARLY INTERV	1.5	Q3
J EARLY REPUB	0.8	Q1
J EARTHQ ENG	2.5	Q2
J EAST AFR STUD	0.9	Q2
J EAST ASIAN LING	0.5	Q3
J EAT DISORD	3.5	Q1
J ECCLESIAST HIST	0.3	NA
J ECHOCARDIOGR	1.4	Q3
J ECOHYDRAUL	4.6	Q1
J ECOL	5.3	Q1
J ECON (VIENNA)	1.6	Q2
J ECON AGEING	1.9	Q2
J ECON BEHAV ORGAN	2.3	Q2
J ECON BUS	3.3	Q1
J ECON DYN CONTROL	1.9	Q2
J ECON EDUC	1.7	Q2
J ECON ENTOMOL	2.2	Q1
J ECON GROWTH (BOSTON)	2.3	Q2
J ECON HIST	2.5	Q1
J ECON INEQUAL	3.6	Q1
J ECON INTERACT COORD	0.8	Q3
J ECON ISSUES	1	Q3
J ECON LIT	11.5	Q1
J ECON MANAG STRATEGY	1.2	Q4
J ECON PERSPECT	6.9	Q1
J ECON PSYCHOL	2.5	Q2
J ECON SCI ASSOC	2.4	Q2
J ECON SOC HIST ORIENT	0.5	Q1
J ECON STUD	1.9	Q2
J ECON SURV	5.9	Q1
J ECON THEORY	1.4	Q3
J ECONOM	9.9	Q1
J ECT	1.8	Q3
J ECUMENICAL STUD	0.2	NA
J EDUC (BOSTON)	0.6	Q3
J EDUC ADM HIST	1.8	Q2
J EDUC BEHAV STAT	1.9	Q2
J EDUC CHANG	2.5	Q1
J EDUC EVAL HEALTH PROF	9.3	Q1
J EDUC HEALTH PROMOT	1.4	Q3
J EDUC MEAS	1.4	Q4
J EDUC PSYCHOL	5.6	Q1
J EDUC PSYCHOL CONSULT	0.8	Q4
J EDUC RES	2	Q2
J EDUC STUD PLACED RISK	2	Q2
J EDUC TEACH	1.6	Q2
J EDUC TECHNO SOC	4.6	Q1
J EGYPT ARCHAEOL	0.6	NA
J EGYPT NATL CANC INST	2.1	Q3
J EGYPT PUBLIC HEALTH ASSOC	3.3	Q1
J EIGHTEENTH CENTURY STUD	0.2	NA
J ELASTOMERS PLAST	1.4	Q4
J ELDER ABUSE NEGL	1.6	Q3
J ELECT PUBLIC OPIN PARTIES	2	Q2
J ELECTR ENG TECHNOL	1.6	Q3
J ELECTROANAL CHEM (LAUSANNE)	4.1	Q2
J ELECTROCARDIOL	1.3	Q3
J ELECTROCHEM SOC	3.1	Q2
J ELECTROMAGN WAVES APPL	1.2	Q4
J ELECTROMYOGR KINESIOL	2	Q2
J ELECTRON IMAGING	1	Q4
J ELECTRON MATER	2.2	Q3
J ELECTRON PACKAG	2.2	Q2
J ELECTRON SPECTROS RELAT PHENOMENA	1.8	Q2
J ELECTROSTAT	1.9	Q3
J ELLIPTIC PARABOL EQU	0.9	Q2
J EMERG MED	1.2	Q3
J EMERG NURS	1.8	Q2
J EMERG TRAUMA SHOCK	1.2	Q3
J EMOT BEHAV DISORD	1.7	Q2
J EMPIR FINANCE	2.1	Q2
J EMPIR LEG STUD	1.2	Q1
J EMPIR RES HUM RES ETHICS	1.7	Q2
J EMPLOY COUNS	1.6	Q3
J ENABLING TECHNOL	1.7	Q2
J ENDOCR SOC	3	Q2
J ENDOCRINOL	3.4	Q2
J ENDOCRINOL INVEST	3.9	Q2
J ENDOCRINOL METAB	0.6	Q4
J ENDOD	3.5	Q1
J ENDOMETR PELVIC PAIN DISORD	0.6	Q4
J ENDOUROL	2.9	Q1
J ENDOVASC RESUSC TRAUMA MANAG	0.2	Q4
J ENDOVASC THER	1.7	Q2
J ENERGY CHEM	14	Q1
J ENERGY RESOUR TECHNOL	2.6	Q3
J ENERGY STORAGE	8.9	Q1
J ENG (STEVENAGE)	0.8	Q3
J ENG EDU	3.9	Q1
J ENG FIBER FABR	2.2	Q1
J ENG GAS TURBINE POWER	1.4	Q3
J ENG LINGUIST	0.9	Q2
J ENG MATER TECHNOL	1.5	Q4
J ENG MATH	1.4	Q3
J ENG MECH	3.3	Q1
J ENGL ACAD PURP	3.1	Q1
J ENVIRON BIOL	0.6	Q4
J ENVIRON CHEM ENG	7.4	Q1
J ENVIRON DEV	2.3	Q3
J ENVIRON ECON MANAGE	5.5	Q1
J ENVIRON EDUC	1.7	Q3
J ENVIRON ENG (NEW YORK)	1.6	Q4
J ENVIRON ENG GEOPHYS	1	Q3
J ENVIRON HEALTH	0.8	Q4
J ENVIRON HEALTH SCI ENG	3	Q2
J ENVIRON MANAGE	8	Q1
J ENVIRON PATHOL TOXICOL ONCOL	2.1	Q3
J ENVIRON PLAN MANAG	4.4	Q1
J ENVIRON POLICY PLAN	2.9	Q2
J ENVIRON PSYCHOL	6.1	Q1
J ENVIRON QUAL	2.2	Q3
J ENVIRON RADIOACT	1.9	Q3
J ENVIRON SCI (CHINA)	5.9	Q1
J ENVIRON SCI HEALTH A TOX HAZARD SUBST ENVIRON ENG	1.9	Q3
