abb	pubmed_journal	pubmed_issn	pubmed_eissn	Publisher	journal_if	IF_2020	IF_2021	IF_2022	IF_2023	IF_2024	q_2020	q_2021	q_2022	q_2023	q_2024
J VIB ACOUST	Journal of vibration and acoustics	1048-9002	0739-3717	ASME	JOURNAL OF VIBRATION AND ACOUSTICS-TRANSACTIONS OF THE ASME	1.583	1.701	1.7	1.9	1.9	Q3	Q3	Q3	Q2	Q2
STAT COMPUT	Statistics and computing	0960-3174		SPRINGER	STATISTICS AND COMPUTING	2.559	2.324	2.2	1.6	1.6	Q1	Q2	Q1	Q1	Q2
J ELECTROSTAT	Journal of electrostatics	0304-3886		ELSEVIER	JOURNAL OF ELECTROSTATICS	1.775	1.942	1.8	1.9	2.1	Q3	Q3	Q3	Q3	Q3
STOCH ENVIRON RES RISK ASSESS	Stochastic environmental research and risk assessment : research journal	1436-3240		SPRINGER	STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT	3.379	3.821	4.2	3.9	3.6	Q1	Q1	Q1	Q1	Q1
STAT SIN	Statistica Sinica	1017-0405		STATISTICA SINICA	STATISTICA SINICA	1.261	1.33	1.4	1.5	1.2	Q3	Q3	Q3	Q2	Q2
ACM TRANS KNOWL DISCOV DATA	ACM transactions on knowledge discovery from data	1556-4681		ASSOC COMPUTING MACHINERY	ACM TRANSACTIONS ON KNOWLEDGE DISCOVERY FROM DATA	2.713	4.157	3.6	4.0	4.8	Q2	Q1	Q2	Q1	Q1
CHEMSUSCHEM	ChemSusChem	1864-5631	1864-564X	WILEY-V C H VERLAG GMBH	CHEMSUSCHEM	8.928	9.14	8.4	7.5	6.6	Q1	Q1	Q1	Q1	Q1
GUT PATHOG	Gut pathogens		1757-4749	BMC	GUT PATHOGENS	4.181	5.324	4.2	4.3	4.0	Q2	Q2	Q2	Q1	Q1
J OVARIAN RES	Journal of ovarian research		1757-2215	BMC	JOURNAL OF OVARIAN RESEARCH	4.234	5.506	4.0	3.8	4.2	Q1	Q1	Q1	Q1	Q1
J AEROSOL MED PULM DRUG DELIV	Journal of aerosol medicine and pulmonary drug delivery	1941-2711	1941-2703	MARY ANN LIEBERT, INC	JOURNAL OF AEROSOL MEDICINE AND PULMONARY DRUG DELIVERY	2.849	3.44	3.4	2.0	1.8	Q3	Q3	Q3	Q3	Q3
J PROTEOMICS	Journal of proteomics	1874-3919	1876-7737	ELSEVIER	JOURNAL OF PROTEOMICS	4.044	3.855	3.3	2.8	2.8	Q2	Q2	Q2	Q2	Q2
TRANSL ONCOL	Translational oncology		1936-5233	ELSEVIER SCIENCE INC	TRANSLATIONAL ONCOLOGY	4.243	4.803	5.0	4.5	4.1	Q2	Q2	Q2	Q1	Q2
GENOME MED	Genome medicine		1756-994X	BMC	GENOME MEDICINE	11.117	15.266	12.3	10.4	11.2	Q1	Q1	Q1	Q1	Q1
INT REV CELL MOL BIOL	International review of cell and molecular biology	1937-6448			INTERNATIONAL REVIEW OF CELL AND MOLECULAR BIOLOGY	6.813	6.42				Q1	Q1			
ORAL MAXILLOFAC SURG	Oral and maxillofacial surgery	1865-1550	1865-1569	SPRINGER HEIDELBERG	ORAL AND MAXILLOFACIAL SURGERY-HEIDELBERG			1.8	1.7	1.8				Q3	Q3
DOSE RESPONSE	Dose-response : a publication of International Hormesis Society		1559-3258	SAGE PUBLICATIONS INC	DOSE-RESPONSE	2.658	2.623	2.5	2.3	2.4	Q3	Q3	Q3	Q2	Q2
ANNU REV BIOPHYS	Annual review of biophysics	1936-122X	1936-1238	ANNUAL REVIEWS	ANNUAL REVIEW OF BIOPHYSICS	12.981	19.763	12.4	10.4	13.7	Q1	Q1	Q1	Q1	Q1
J VIS EXP	Journal of visualized experiments : JoVE		1940-087X	JOURNAL OF VISUALIZED EXPERIMENTS	JOVE-JOURNAL OF VISUALIZED EXPERIMENTS	1.355	1.424	1.2	1.2	1.0	Q3	Q3	Q3	Q3	Q3
ADV UROL	Advances in urology	1687-6369	1687-6377	WILEY	ADVANCES IN UROLOGY			1.4	1.8	2.3				Q3	Q2
INFORM HEALTH SOC CARE	Informatics for health & social care	1753-8157	1753-8165	TAYLOR & FRANCIS INC	INFORMATICS FOR HEALTH & SOCIAL CARE	2.439	3.082	2.4	2.5	2.4	Q3	Q2	Q3	Q2	Q2
AQUAT SCI	Aquatic sciences	1015-1621	1420-9055	SPRINGER BASEL AG	AQUATIC SCIENCES	2.744	2.755	2.4	2.0	1.8	Q1	Q2	Q2	Q2	Q2
SCAND J TRAUMA RESUSC EMERG MED	Scandinavian journal of trauma, resuscitation and emergency medicine		1757-7241	BMC	SCANDINAVIAN JOURNAL OF TRAUMA RESUSCITATION & EMERGENCY MEDICINE	2.953	3.803	3.3	3.0	3.1	Q2	Q2	Q2	Q1	Q1
BLOOD TRANSFUS	Blood transfusion = Trasfusione del sangue	1723-2007	2385-2070	SIMTIPRO SRL	BLOOD TRANSFUSION	3.443	5.752	3.7	2.4	2.3	Q2	Q2	Q2	Q2	Q2
CARDIOL J	Cardiology journal	1897-5593	1898-018X	VIA MEDICA	CARDIOLOGY JOURNAL	2.737	3.487	2.9	2.5	1.9	Q3	Q2	Q3	Q2	Q3
CHANNELS (AUSTIN)	Channels (Austin, Tex.)	1933-6950	1933-6969	TAYLOR & FRANCIS INC	CHANNELS	2.581	3.493	3.3	3.3	3.2	Q4	Q3	Q3	Q2	Q2
CURR CLIN PHARMACOL	Current clinical pharmacology	1574-8847	2212-3938		CURRENT CLINICAL PHARMACOLOGY			3.2							
CURR DRUG SAF	Current drug safety	1574-8863	2212-3911		CURRENT DRUG SAFETY			1.5	1.1	0.7				Q4	Q4
CURR OPIN ORGAN TRANSPLANT	Current opinion in organ transplantation	1087-2418	1531-7013	LIPPINCOTT WILLIAMS & WILKINS	CURRENT OPINION IN ORGAN TRANSPLANTATION	2.64	2.269	2.2	1.8	1.9	Q3	Q3	Q3	Q3	Q3
CURR OPIN SUPPORT PALLIAT CARE	Current opinion in supportive and palliative care	1751-4258	1751-4266	LIPPINCOTT WILLIAMS & WILKINS	CURRENT OPINION IN SUPPORTIVE AND PALLIATIVE CARE	2.302	2.265	2.1	1.9	2.0	Q3	Q3	Q3	Q3	Q3
GERIATR GERONTOL INT	Geriatrics & gerontology international	1444-1586	1447-0594	WILEY	GERIATRICS & GERONTOLOGY INTERNATIONAL	2.73	3.387	3.3	2.4	2.5	Q2	Q2	Q2	Q2	Q2
HEALTH ECON POLICY LAW	Health economics, policy, and law	1744-1331	1744-134X	CAMBRIDGE UNIV PRESS	HEALTH ECONOMICS POLICY AND LAW	2.446	2.516	1.7	3.0	3.3	Q3	Q3	Q4	Q2	Q1
HIP INT	Hip international : the journal of clinical and experimental research on hip pathology and therapy	1120-7000	1724-6067	SAGE PUBLICATIONS LTD	HIP INTERNATIONAL	2.135	1.756	1.5	1.3	1.1	Q3	Q3	Q3	Q3	Q3
INT J STROKE	International journal of stroke : official journal of the International Stroke Society	1747-4930	1747-4949	SAGE PUBLICATIONS LTD	INTERNATIONAL JOURNAL OF STROKE	5.266	6.948	6.7	6.3	8.7	Q1	Q1	Q1	Q1	Q1
J CANCER SURVIV	Journal of cancer survivorship : research and practice	1932-2259	1932-2267	SPRINGER	JOURNAL OF CANCER SURVIVORSHIP	4.442	4.062	3.7	3.1	2.9	Q1	Q1	Q1	Q1	Q1
PRIM CARE DIABETES	Primary care diabetes	1751-9918	1878-0210	ELSEVIER SCI LTD	PRIMARY CARE DIABETES	2.459	2.567	2.9	2.6	2.3	Q3	Q3	Q2	Q1	Q2
CURR CARDIOL REV	Current cardiology reviews	1573-403X	1875-6557	BENTHAM SCIENCE PUBL LTD	CURRENT CARDIOLOGY REVIEWS			1.9	2.4	2.2				Q2	Q2
INT J MOL SCI	International journal of molecular sciences		1422-0067	MDPI	INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES	5.924	6.208	5.6	4.9	4.9	Q1	Q1	Q1	Q1	Q1
J INFECT DEV CTRIES	Journal of infection in developing countries	2036-6590	1972-2680	J INFECTION DEVELOPING COUNTRIES	JOURNAL OF INFECTION IN DEVELOPING COUNTRIES	0.968	2.552	1.9	1.4	1.2	Q4	Q4	Q4	Q4	Q4
FRONT MOL NEUROSCI	Frontiers in molecular neuroscience		1662-5099	FRONTIERS MEDIA SA	FRONTIERS IN MOLECULAR NEUROSCIENCE	5.639	6.261	4.8	3.5	3.8	Q1	Q1	Q2	Q2	Q2
FRONT NEURAL CIRCUITS	Frontiers in neural circuits		1662-5110	FRONTIERS MEDIA SA	FRONTIERS IN NEURAL CIRCUITS	3.492	3.342	3.5	3.4	3.0	Q3	Q3	Q2	Q2	Q2
FRONT CELL NEUROSCI	Frontiers in cellular neuroscience		1662-5102	FRONTIERS MEDIA SA	FRONTIERS IN CELLULAR NEUROSCIENCE	5.505	6.147	5.3	4.2	4.0	Q1	Q1	Q1	Q2	Q2
FRONT SYST NEUROSCI	Frontiers in systems neuroscience		1662-5137	FRONTIERS MEDIA SA	FRONTIERS IN SYSTEMS NEUROSCIENCE	3.289	3.785	3.0	3.1	3.5	Q3	Q3	Q3	Q2	Q2
FRONT NEUROANAT	Frontiers in neuroanatomy		1662-5129	FRONTIERS MEDIA SA	FRONTIERS IN NEUROANATOMY	3.856	3.543	2.9	2.1	2.3	Q1	Q1	Q1	Q1	Q1
FRONT INTEGR NEUROSCI	Frontiers in integrative neuroscience		1662-5145	FRONTIERS MEDIA SA	FRONTIERS IN INTEGRATIVE NEUROSCIENCE	2.763	3.213	3.5	2.6	2.9	Q3	Q2	Q1	Q2	Q1
FRONT BEHAV NEUROSCI	Frontiers in behavioral neuroscience		1662-5153		FRONTIERS IN BEHAVIORAL NEUROSCIENCE	3.558	3.617	3.0	2.6	2.9	Q1	Q2	Q2	Q2	Q1
FRONT COMPUT NEUROSCI	Frontiers in computational neuroscience		1662-5188	FRONTIERS MEDIA SA	FRONTIERS IN COMPUTATIONAL NEUROSCIENCE	2.38	3.387	3.2	2.1	2.3	Q2	Q2	Q2	Q2	Q2
FRONT HUM NEUROSCI	Frontiers in human neuroscience		1662-5161	FRONTIERS MEDIA SA	FRONTIERS IN HUMAN NEUROSCIENCE	3.169	3.473	2.9	2.4	2.7	Q2	Q2	Q2	Q2	Q2
FRONT NEUROROBOT	Frontiers in neurorobotics		1662-5218	FRONTIERS MEDIA SA	FRONTIERS IN NEUROROBOTICS	2.65	3.493	3.1	2.6	2.8	Q2	Q2	Q3	Q3	Q3
FRONT NEUROINFORM	Frontiers in neuroinformatics		1662-5196	FRONTIERS MEDIA SA	FRONTIERS IN NEUROINFORMATICS	4.081	3.739	3.5	2.5	2.5	Q1	Q2	Q2	Q2	Q2
CAN REV SOCIOL	Canadian review of sociology = Revue canadienne de sociologie	1755-6171	1755-618X	WILEY	CANADIAN REVIEW OF SOCIOLOGY-REVUE CANADIENNE DE SOCIOLOGIE	1.559	2.619	2.7	1.1	1.2	Q3	Q2	Q2	Q3	Q3
J INT AIDS SOC	Journal of the International AIDS Society		1758-2652	JOHN WILEY & SONS LTD	JOURNAL OF THE INTERNATIONAL AIDS SOCIETY	5.396	6.707	6.0	4.6	4.9	Q1	Q1	Q1	Q1	Q1
MAR GENOMICS	Marine genomics	1874-7787	1876-7478	ELSEVIER	MARINE GENOMICS	1.71	2.143	1.9	1.3	1.5	Q4	Q4	Q4	Q4	Q4
ANN PHYS	Annalen der Physik	0003-3804	1521-3889	WILEY-V C H VERLAG GMBH	ANNALEN DER PHYSIK	2.987	3.047	2.4	2.2	2.5	Q2	Q2	Q3	Q2	Q2
J CHIROPR MED	Journal of chiropractic medicine	1556-3707	1556-3715		JOURNAL OF CHIROPRACTIC MEDICINE			0.9	0.8	0.8				Q4	Q4
HAND (N Y)	Hand (New York, N.Y.)	1558-9447	1558-9455		HAND-AMERICAN ASSOCIATION FOR HAND SURGERY				1.8					Q2	
J ONCOL PRACT	Journal of oncology practice	1554-7477	1935-469X		JOURNAL OF ONCOLOGY PRACTICE	3.84	3.714				Q3	Q3			
FRONT NEUROSCI	Frontiers in neuroscience	1662-4548	1662-453X	FRONTIERS MEDIA SA	FRONTIERS IN NEUROSCIENCE	4.677	5.152	4.3	3.2	3.2	Q2	Q2	Q2	Q2	Q2
COLLOID POLYM SCI	Colloid and polymer science	0303-402X		SPRINGER	COLLOID AND POLYMER SCIENCE	1.931	2.434	2.4	2.2	2.3	Q3	Q3	Q3	Q3	Q3
J APPL RES INTELLECT DISABIL	Journal of applied research in intellectual disabilities : JARID	1360-2322	1468-3148	WILEY	JOURNAL OF APPLIED RESEARCH IN INTELLECTUAL DISABILITIES	2.7	2.162	2.4	2.1	1.9	Q1	Q2	Q1	Q1	Q2
J DISPERS SCI TECHNOL	Journal of dispersion science and technology	0193-2691		TAYLOR & FRANCIS INC	JOURNAL OF DISPERSION SCIENCE AND TECHNOLOGY	2.262	2.057	2.2	1.9	1.9	Q3	Q4	Q4	Q4	Q4
IEEE TRANS INF THEORY	IEEE transactions on information theory	0018-9448		IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC	IEEE TRANSACTIONS ON INFORMATION THEORY	2.501	2.978	2.5	2.2	2.9	Q2	Q2	Q3	Q3	Q1
CRIMINOL PUBLIC POLICY	Criminology & public policy	1538-6473	1745-9133	WILEY	CRIMINOLOGY & PUBLIC POLICY	4.333	5.085	4.6	3.5	4.1	Q1	Q1	Q1	Q1	Q1
J PEDIATR NEUROL	Journal of pediatric neurology : JPN	1304-2580	1875-9041	GEORG THIEME VERLAG KG	JOURNAL OF PEDIATRIC NEUROLOGY			0.2	0.2	0.2				Q4	Q4
POLYM INT	Polymer international	0959-8103	1097-0126	WILEY	POLYMER INTERNATIONAL	2.99	3.213	3.2	2.9	3.6	Q2	Q2	Q2	Q2	Q2
ACS NANO	ACS nano	1936-0851	1936-086X	AMER CHEMICAL SOC	ACS NANO	15.881	18.027	17.1	15.8	16.0	Q1	Q1	Q1	Q1	Q1
MOL PLANT	Molecular plant	1674-2052	1752-9867	CELL PRESS	MOLECULAR PLANT	13.164	21.949	27.5	17.1	24.1	Q1	Q1	Q1	Q1	Q1
J NEUROPSYCHOL	Journal of neuropsychology	1748-6645	1748-6653	WILEY	JOURNAL OF NEUROPSYCHOLOGY	2.864	2.276	2.2	2.0	1.8	Q2	Q3	Q3	Q2	Q3
CELL ADH MIGR	Cell adhesion & migration	1933-6918	1933-6926	TAYLOR & FRANCIS INC	CELL ADHESION & MIGRATION	3.405	3.255	3.2	3.3	3.5	Q3	Q3	Q3	Q3	Q3
SURF INTERFACE ANAL	Surface and interface analysis : SIA	0142-2421		WILEY	SURFACE AND INTERFACE ANALYSIS	1.607	1.702	1.7	1.6	1.8	Q4	Q4	Q4	Q4	Q4
POLICE PRACT RES	Police practice & research : an international journal	1561-4263	1477-271X	ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD	POLICE PRACTICE AND RESEARCH			1.8	1.4	1.8				Q2	Q2
FUNCT ECOL	Functional ecology	0269-8463	1365-2435	WILEY	FUNCTIONAL ECOLOGY	5.608	6.284	5.2	4.6	5.1	Q1	Q1	Q1	Q1	Q1
POLICING	Policing (Bradford, England)	1363-951X		EMERALD GROUP PUBLISHING LTD	POLICING-AN INTERNATIONAL JOURNAL OF POLICE STRATEGIES & MANAGEMENT	1.916	1.932	2.0	1.4	1.7	Q3	Q3	Q2	Q2	Q2
INT J APPROX REASON	International journal of approximate reasoning : official publication of the North American Fuzzy Information Processing Society	0888-613X		ELSEVIER SCIENCE INC	INTERNATIONAL JOURNAL OF APPROXIMATE REASONING	3.816	4.452	3.9	3.2	3.0	Q2	Q2	Q2	Q2	Q2
CANCER PREV RES (PHILA)	Cancer prevention research (Philadelphia, Pa.)	1940-6207	1940-6215	AMER ASSOC CANCER RESEARCH	CANCER PREVENTION RESEARCH	3.491	3.296	3.3	2.9	2.6	Q3	Q3	Q3	Q2	Q3
ANN APPL STAT	The annals of applied statistics	1932-6157	1941-7330	INST MATHEMATICAL STATISTICS-IMS	ANNALS OF APPLIED STATISTICS	2.083	1.959	1.8	1.3	1.4	Q2	Q2	Q2	Q2	Q2
INF PROCESS LETT	Information processing letters	0020-0190	1872-6119	ELSEVIER	INFORMATION PROCESSING LETTERS	0.959	0.851	0.5	0.7	0.6	Q4	Q4	Q4	Q4	Q4
EUR J LIPID SCI TECHNOL	European journal of lipid science and technology : EJLST	1438-7697	1438-9312	WILEY	EUROPEAN JOURNAL OF LIPID SCIENCE AND TECHNOLOGY	2.679	3.196	2.7	1.8	1.8	Q3	Q3	Q3	Q3	Q3
J OTOLARYNGOL HEAD NECK SURG	Journal of otolaryngology - head & neck surgery = Le Journal d'oto-rhino-laryngologie et de chirurgie cervico-faciale	1916-0208	1916-0216	SAGE PUBLICATIONS INC	JOURNAL OF OTOLARYNGOLOGY-HEAD & NECK SURGERY	2.441	4.856	3.4	2.6	2.2	Q2	Q1	Q1	Q1	Q1
J PHOTOCHEM PHOTOBIOL A CHEM	Journal of photochemistry and photobiology. A, Chemistry	1010-6030		ELSEVIER SCIENCE SA	JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY A-CHEMISTRY	4.291	5.141	4.3	4.1	4.7	Q2	Q2	Q2	Q2	Q2
ENG FAIL ANAL	Engineering failure analysis	1350-6307		PERGAMON-ELSEVIER SCIENCE LTD	ENGINEERING FAILURE ANALYSIS	3.114	3.634	4.0	4.4	5.7	Q2	Q2	Q1	Q1	Q1
OPEN DENT J	The open dentistry journal		1874-2106	BENTHAM SCIENCE PUBL LTD	OPEN DENTISTRY JOURNAL			1.3	0.5	0.6				Q4	Q4
OPEN CARDIOVASC MED J	The open cardiovascular medicine journal		1874-1924	BENTHAM SCIENCE PUBL LTD	OPEN CARDIOVASCULAR MEDICINE JOURNAL			0.8	0.2	0.4				Q4	Q4
OPEN OPHTHALMOL J	The open ophthalmology journal		1874-3641	BENTHAM SCIENCE PUBL LTD	OPEN OPHTHALMOLOGY JOURNAL			0.3	0.4	0.3				Q4	Q4
J SYST EVOL	Journal of systematics and evolution	1674-4918	1759-6831	WILEY	JOURNAL OF SYSTEMATICS AND EVOLUTION	4.098	3.544	3.7	3.4	2.9	Q1	Q2	Q2	Q1	Q2
BREAST CANCER (AUCKL)	Breast cancer : basic and clinical research		1178-2234	SAGE PUBLICATIONS LTD	BREAST CANCER-BASIC AND CLINICAL RESEARCH			2.9	1.8	1.9				Q3	Q3
INT J CLIN EXP PATHOL	International journal of clinical and experimental pathology		1936-2625	E-CENTURY PUBLISHING CORP	INTERNATIONAL JOURNAL OF CLINICAL AND EXPERIMENTAL PATHOLOGY			1.4	1.1	0.9				Q4	Q4
J ELECTROCHEM SOC	Journal of the Electrochemical Society	0013-4651	1945-7111	ELECTROCHEMICAL SOC INC	JOURNAL OF THE ELECTROCHEMICAL SOCIETY	4.316	4.371	3.9	3.1	3.3	Q1	Q2	Q2	Q2	Q2
LEARN DISABIL Q	Learning disability quarterly : journal of the Division for Children with Learning Disabilities	0731-9487		SAGE PUBLICATIONS INC	LEARNING DISABILITY QUARTERLY	1.865	1.485	1.8	1.6	1.2	Q3	Q4	Q3	Q2	Q3
J PROSTHET ORTHOT	Journal of prosthetics and orthotics : JPO	1040-8800	1534-6331	LIPPINCOTT WILLIAMS & WILKINS	JOURNAL OF PROSTHETICS AND ORTHOTICS			0.6	0.4	0.6				Q4	Q4
FAM J ALEX VA	Family journal (Alexandria, Va.)	1066-4807		SAGE PUBLICATIONS INC	FAMILY JOURNAL			1.3	1.0	1.2				Q3	Q3
IMAGE VIS COMPUT	Image and vision computing	0262-8856	1872-8138	ELSEVIER	IMAGE AND VISION COMPUTING	2.818	3.86	4.7	4.2	4.2	Q2	Q1	Q1	Q1	Q1
INT J COMPUT VIS	International journal of computer vision	0920-5691		SPRINGER	INTERNATIONAL JOURNAL OF COMPUTER VISION	7.41	13.369	19.5	11.6	9.3	Q1	Q1	Q1	Q1	Q1
CURR NUTR FOOD SCI	Current nutrition and food science	1573-4013	2212-3881	BENTHAM SCIENCE PUBL LTD	CURRENT NUTRITION & FOOD SCIENCE			0.9	0.8	1.1				Q4	Q4
CIRC ARRHYTHM ELECTROPHYSIOL	Circulation. Arrhythmia and electrophysiology	1941-3149	1941-3084	LIPPINCOTT WILLIAMS & WILKINS	CIRCULATION-ARRHYTHMIA AND ELECTROPHYSIOLOGY	6.572	7.718	8.4	9.1	9.8	Q1	Q1	Q1	Q1	Q1
MULTISCALE MODEL SIMUL	Multiscale modeling & simulation : a SIAM interdisciplinary journal	1540-3459		SIAM PUBLICATIONS	MULTISCALE MODELING & SIMULATION	1.93	1.961	1.6	1.9	1.6	Q2	Q2	Q2	Q2	Q2
INT REV SOCIOL SPORT	International review for the sociology of sport	1012-6902	1461-7218	SAGE PUBLICATIONS LTD	INTERNATIONAL REVIEW FOR THE SOCIOLOGY OF SPORT	3.78	2.689	2.3	2.5	2.6	Q1	Q2	Q2	Q1	Q1
ELECTRON J STAT	Electronic journal of statistics		1935-7524	INST MATHEMATICAL STATISTICS-IMS	ELECTRONIC JOURNAL OF STATISTICS	1.125	1.225	1.1	1.0	1.3	Q3	Q3	Q3	Q3	Q2
INT J SEMANT WEB INF SYST	International journal on Semantic Web and information systems	1552-6283	1552-6291	IGI GLOBAL	INTERNATIONAL JOURNAL ON SEMANTIC WEB AND INFORMATION SYSTEMS	0.843	1.478	3.2	4.1	5.6	Q4	Q4	Q3	Q1	Q1
J NANOPHOTONICS	Journal of nanophotonics		1934-2608		JOURNAL OF NANOPHOTONICS	1.494	1.179	1.5	1.1	1.1	Q3	Q4	Q4	Q4	Q4
MICROFLUID NANOFLUIDICS	Microfluidics and nanofluidics	1613-4982		SPRINGER HEIDELBERG	MICROFLUIDICS AND NANOFLUIDICS	2.529	3.09	2.8	2.3	2.5	Q2	Q2	Q2	Q2	Q2
EURASIP J ADV SIGNAL PROCESS	EURASIP journal on advances in signal processing	1687-6172	1687-6180	SPRINGER	EURASIP JOURNAL ON ADVANCES IN SIGNAL PROCESSING	1.63	1.759	1.9	1.7	1.9	Q3	Q3	Q3	Q3	Q3
ACTA MATH SIN ENGL SER	Acta mathematica Sinica, English series	1439-8516	1439-7617	SPRINGER HEIDELBERG	ACTA MATHEMATICA SINICA-ENGLISH SERIES	0.955	0.833	0.7	0.8	0.9	Q3	Q3	Q3	Q2	Q2
NAT PHOTONICS	Nature photonics	1749-4885	1749-4893	NATURE PORTFOLIO	NATURE PHOTONICS	38.771	39.728	35.0	32.3	32.9	Q1	Q1	Q1	Q1	Q1
HERED CANCER CLIN PRACT	Hereditary cancer in clinical practice	1731-2302	1897-4287	BMC	HEREDITARY CANCER IN CLINICAL PRACTICE	2.857	2.164	1.7	2.0	2.4	Q4	Q4	Q4	Q3	Q3
J ADULT DEV	Journal of adult development	1068-0667		SPRINGER/PLENUM PUBLISHERS	JOURNAL OF ADULT DEVELOPMENT	1.909	1.9	2.2	1.8	1.7	Q3	Q4	Q3	Q3	Q3
DRUGS (ABINGDON ENGL)	Drugs (Abingdon, England)	0968-7637		TAYLOR & FRANCIS LTD	DRUGS-EDUCATION PREVENTION AND POLICY	1.71	2.007	1.9	1.5	1.9	Q4	Q4	Q4	Q3	Q3
PATTERN RECOGNIT LETT	Pattern recognition letters	0167-8655		ELSEVIER	PATTERN RECOGNITION LETTERS	3.756	4.757	5.1	3.9	3.3	Q2	Q2	Q2	Q2	Q2
BELL LABS TECH J	Bell Labs technical journal	1089-7089			BELL LABS TECHNICAL JOURNAL	0.333	0.0				Q4	Q4			
PAK J MED SCI	Pakistan journal of medical sciences	1682-024X	1681-715X	PROFESSIONAL MEDICAL PUBLICATIONS	PAKISTAN JOURNAL OF MEDICAL SCIENCES	1.088	2.34	2.2	1.2	1.7	Q4	Q3	Q3	Q2	Q2
ADDICT RES THEORY	Addiction research & theory	1606-6359	1476-7392	TAYLOR & FRANCIS LTD	ADDICTION RESEARCH & THEORY	2.336	3.007	2.9	1.9	2.0	Q2	Q2	Q2	Q2	Q2
ORGANOGENESIS	Organogenesis	1547-6278	1555-8592	TAYLOR & FRANCIS INC	ORGANOGENESIS	2.5	2.316	2.3	1.6	2.8	Q3	Q3	Q3	Q4	Q2
PROG COMMUNITY HEALTH PARTNERSH	Progress in community health partnerships : research, education, and action	1557-0541	1557-055X	JOHNS HOPKINS UNIV PRESS	PROGRESS IN COMMUNITY HEALTH PARTNERSHIPS-RESEARCH EDUCATION AND ACTION	1.192	1.284	1.1	0.8	0.6	Q4	Q4	Q4	Q4	Q4
COMPUT MATH METHODS MED	Computational and mathematical methods in medicine	1748-670X	1748-6718		COMPUTATIONAL AND MATHEMATICAL METHODS IN MEDICINE	2.238	2.809				Q3	Q2			
FUTURE VIROL	Future virology	1746-0794	1746-0808	TAYLOR & FRANCIS LTD	FUTURE VIROLOGY	1.831	3.015	3.1	2.1	1.4	Q4	Q3	Q3	Q3	Q4
BIOMARK MED	Biomarkers in medicine	1752-0363	1752-0371	TAYLOR & FRANCIS LTD	BIOMARKERS IN MEDICINE	2.851	2.498	2.2	1.9	2.1	Q3	Q4	Q4	Q3	Q3
CURR RADIOPHARM	Current radiopharmaceuticals	1874-4710	1874-4729	BENTHAM SCIENCE PUBL LTD	CURRENT RADIOPHARMACEUTICALS		1.96	2.3	1.5	1.2		Q4	Q3	Q3	Q4
INT J CLIN EXP MED	International journal of clinical and experimental medicine		1940-5901	E-CENTURY PUBLISHING CORP	INTERNATIONAL JOURNAL OF CLINICAL AND EXPERIMENTAL MEDICINE			0.1	0.2	0.3				Q4	Q4
BIOMOL NMR ASSIGN	Biomolecular NMR assignments	1874-2718	1874-270X	SPRINGER	BIOMOLECULAR NMR ASSIGNMENTS	0.746	0.731	0.9	0.8	0.6	Q4	Q4	Q4	Q4	Q4
MEDIA PSYCHOL	Media psychology	1521-3269	1532-785X	ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD	MEDIA PSYCHOLOGY	3.824	3.912	4.2	3.4	2.6	Q1	Q1	Q1	Q1	Q1
COMMUN METHODS MEAS	Communication methods and measures	1931-2458	1931-2466	ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD	COMMUNICATION METHODS AND MEASURES	7.882	8.044	11.4	6.3	3.7	Q1	Q1	Q1	Q1	Q1
TRANSP RES REC	Transportation research record	0361-1981	2169-4052	SAGE PUBLICATIONS INC	TRANSPORTATION RESEARCH RECORD	1.56	2.019	1.7	1.6	1.8	Q4	Q3	Q3	Q3	Q3
J RISK RES	Journal of risk research	1366-9877	1466-4461	ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD	JOURNAL OF RISK RESEARCH	2.583	5.346	5.1	2.4	1.7	Q2	Q1	Q1	Q1	Q2
ACM TRANS RECONFIGURABLE TECHNOL SYST	ACM transactions on reconfigurable technology and systems	1936-7406	1936-7414	ASSOC COMPUTING MACHINERY	ACM TRANSACTIONS ON RECONFIGURABLE TECHNOLOGY AND SYSTEMS	2.085	2.837	2.3	3.1	2.8	Q3	Q2	Q3	Q2	Q2
J ADVERT	Journal of advertising	0091-3367	1557-7805	ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD	JOURNAL OF ADVERTISING	5.522	6.528	5.7	5.4	7.0	Q1	Q1	Q1	Q1	Q1
GASTROENTEROL RES PRACT	Gastroenterology research and practice	1687-6121	1687-630X	WILEY	GASTROENTEROLOGY RESEARCH AND PRACTICE	2.26	1.919	2.0	2.0	1.4	Q4	Q4	Q4	Q3	Q4
